.region_id,ecometric,year,value,time_period
25025120400,Guns,2010,1.51,2010-01-01
25025120400,Guns,2011,0.93,2011-01-01
25025120400,Guns,2012,1.25,2012-01-01
25025120400,Guns,2013,2.12,2013-01-01
25025120400,Guns,2014,2.52,2014-01-01
25025120400,Guns,2015,1.42,2015-01-01
25025120400,Guns,2016,2.06,2016-01-01
25025120400,Guns,2017,3,2017-01-01
25025120400,Guns,2018,2.06,2018-01-01
25025120400,Guns,2019,0.46,2019-01-01
25025110601,Guns,2010,0,2010-01-01
25025110601,Guns,2011,0.75,2011-01-01
25025110601,Guns,2012,0,2012-01-01
25025110601,Guns,2013,2.04,2013-01-01
25025110601,Guns,2014,1.06,2014-01-01
25025110601,Guns,2015,0,2015-01-01
25025110601,Guns,2016,1,2016-01-01
25025110601,Guns,2017,0,2017-01-01
25025110601,Guns,2018,0.33,2018-01-01
25025110601,Guns,2019,0,2019-01-01
25025110502,Guns,2010,0,2010-01-01
25025110502,Guns,2011,2.64,2011-01-01
25025110502,Guns,2012,3.08,2012-01-01
25025110502,Guns,2013,2.25,2013-01-01
25025110502,Guns,2014,1.93,2014-01-01
25025110502,Guns,2015,1.72,2015-01-01
25025110502,Guns,2016,2.79,2016-01-01
25025110502,Guns,2017,3.01,2017-01-01
25025110502,Guns,2018,2.79,2018-01-01
25025110502,Guns,2019,1.63,2019-01-01
25025110501,Guns,2010,0,2010-01-01
25025110501,Guns,2011,0.83,2011-01-01
25025110501,Guns,2012,0.83,2012-01-01
25025110501,Guns,2013,1.11,2013-01-01
25025110501,Guns,2014,0.28,2014-01-01
25025110501,Guns,2015,0,2015-01-01
25025110501,Guns,2016,1.13,2016-01-01
25025110501,Guns,2017,1.41,2017-01-01
25025110501,Guns,2018,1.13,2018-01-01
25025110501,Guns,2019,0.8,2019-01-01
25025110401,Guns,2010,0.54,2010-01-01
25025110401,Guns,2011,2.48,2011-01-01
25025110401,Guns,2012,2.49,2012-01-01
25025110401,Guns,2013,2.09,2013-01-01
25025110401,Guns,2014,2.07,2014-01-01
25025110401,Guns,2015,3.45,2015-01-01
25025110401,Guns,2016,1.59,2016-01-01
25025110401,Guns,2017,2.39,2017-01-01
25025110401,Guns,2018,3.18,2018-01-01
25025110401,Guns,2019,3.1,2019-01-01
25025101102,Guns,2010,1.66,2010-01-01
25025101102,Guns,2011,8.4,2011-01-01
25025101102,Guns,2012,7.78,2012-01-01
25025101102,Guns,2013,13.99,2013-01-01
25025101102,Guns,2014,9.02,2014-01-01
25025101102,Guns,2015,10.06,2015-01-01
25025101102,Guns,2016,8.29,2016-01-01
25025101102,Guns,2017,7.89,2017-01-01
25025101102,Guns,2018,7.7,2018-01-01
25025101102,Guns,2019,8.57,2019-01-01
25025101101,Guns,2010,0.59,2010-01-01
25025101101,Guns,2011,6.31,2011-01-01
25025101101,Guns,2012,3.49,2012-01-01
25025101101,Guns,2013,4.46,2013-01-01
25025101101,Guns,2014,4.84,2014-01-01
25025101101,Guns,2015,4.49,2015-01-01
25025101101,Guns,2016,3.96,2016-01-01
25025101101,Guns,2017,4.75,2017-01-01
25025101101,Guns,2018,2.64,2018-01-01
25025101101,Guns,2019,7.27,2019-01-01
25025101002,Guns,2010,1.05,2010-01-01
25025101002,Guns,2011,7.5,2011-01-01
25025101002,Guns,2012,6.46,2012-01-01
25025101002,Guns,2013,6.7,2013-01-01
25025101002,Guns,2014,7.73,2014-01-01
25025101002,Guns,2015,8.48,2015-01-01
25025101002,Guns,2016,5.88,2016-01-01
25025101002,Guns,2017,5.88,2017-01-01
25025101002,Guns,2018,6.92,2018-01-01
25025101002,Guns,2019,4.53,2019-01-01
25025101001,Guns,2010,0.84,2010-01-01
25025101001,Guns,2011,5.43,2011-01-01
25025101001,Guns,2012,7.15,2012-01-01
25025101001,Guns,2013,8.08,2013-01-01
25025101001,Guns,2014,7,2014-01-01
25025101001,Guns,2015,6.15,2015-01-01
25025101001,Guns,2016,8.98,2016-01-01
25025101001,Guns,2017,8.83,2017-01-01
25025101001,Guns,2018,7.25,2018-01-01
25025101001,Guns,2019,4.85,2019-01-01
25025100900,Guns,2010,0,2010-01-01
25025100900,Guns,2011,4.63,2011-01-01
25025100900,Guns,2012,1.68,2012-01-01
25025100900,Guns,2013,3.77,2013-01-01
25025100900,Guns,2014,5.64,2014-01-01
25025100900,Guns,2015,6.2,2015-01-01
25025100900,Guns,2016,7.15,2016-01-01
25025100900,Guns,2017,7.39,2017-01-01
25025100900,Guns,2018,5.72,2018-01-01
25025100900,Guns,2019,3.07,2019-01-01
25025100800,Guns,2010,0.76,2010-01-01
25025100800,Guns,2011,2.51,2011-01-01
25025100800,Guns,2012,4.86,2012-01-01
25025100800,Guns,2013,4.17,2013-01-01
25025100800,Guns,2014,4.52,2014-01-01
25025100800,Guns,2015,1.97,2015-01-01
25025100800,Guns,2016,2.73,2016-01-01
25025100800,Guns,2017,2.89,2017-01-01
25025100800,Guns,2018,1.82,2018-01-01
25025100800,Guns,2019,2.89,2019-01-01
